	pielou_e
AFe1	0.7509594678981414
AFe10	0.7323257318673608
AFe13	0.7013762060445505
AFe14	0.7108486335464889
AFe17	0.7573710371557699
AFe2	0.7244041165790387
AFe20	0.7375961237375771
AFe25	0.7313160841872047
AFe27	0.7159378016408096
AFe3	0.7589972606258147
AFe31	0.7301805005251765
AFe32	0.7367478586490094
AFe33	0.7729077817409146
AFe36	0.7314774649940131
AFe37	0.6980990426757067
AFe39	0.6660885456340614
AFe4	0.7493596729585617
AFe7	0.7586967329436562
AFe8	0.7175128444123853
AFe9	0.7280835500973667
AMe1	0.5904626209984205
AMe11	0.5375995501920666
AMe13	0.5999094100392062
AMe14	0.7271119542294463
AMe16	0.6249263531456551
AMe18	0.6091187192869535
AMe2	0.5807030584537702
AMe5	0.5815845530342
AMe6	0.6920528467769403
AMe7	0.5980102825499733
AMe8	0.5080089445930828
BFe1	0.7058198626787244
BFe10	0.6981537360969907
BFe11	0.6848224746687649
BFe13	0.6992562855618915
BFe14	0.7398329898262042
BFe16	0.6866073847536689
BFe17	0.7067149423511746
BFe2	0.722029712527745
BFe20	0.6790371211320915
BFe23	0.7458574678102486
BFe26	0.7745472493414554
BFe27	0.7069323875295862
BFe29	0.6924152169994542
BFe3	0.7956524177918554
BFe32	0.7220092190546409
BFe33	0.6515165127961442
BFe35	0.7722536117270631
BFe39	0.69030392880665
BFe8	0.703725590792854
BMe10	0.390379647738764
BMe14	0.15262872392383361
BMe18	0.696677896934197
BMe2	0.2482826380695977
BMe4	0.5579559760174467
BMe5	0.5579401447653567
BMe9	0.37879259134702975
P7NC	0.8088028714509421
PFe12	0.7535442126939137
PFe13	0.7309672860467987
PFe16	0.7557874490881537
PFe21	0.748512525042267
PFe22	0.7462189675082858
PFe23	0.77041295029376
PFe24	0.7475241693243841
PFe26	0.7497627929245482
PFe28	0.7553644826249679
PFe30	0.7363864841707165
PFe31	0.7297483618330906
PFe35	0.7574943052470644
PFe37	0.7542601873770015
PFe38	0.7315230770860747
PFe39	0.7856223486122287
PFe40	0.7498501543267014
PFe5	0.741708616371337
PFe8	0.7722945103892216
PMe1	0.8512306571680679
PMe10	0.7706925696162602
PMe11	0.767715085286996
PMe13	0.6908005795355632
PMe14	0.18898682545474543
PMe15	0.8654050818081153
PMe16	0.4699837088867277
PMe18	0.9063725654419909
PMe19	0.24126547408569943
PMe2	0.8193373631558508
PMe7	0.7919374178623627
PMe9	0.8805058319622805
