	shannon
AFe1	7.616311319117907
AFe10	7.268195580349437
AFe13	6.89210729652892
AFe14	7.1828402165067855
AFe17	7.773102838895111
AFe2	7.535984734698964
AFe20	7.813644229407245
AFe25	7.834871874487753
AFe27	7.572104952334171
AFe3	7.819674720371645
AFe31	7.543434056945726
AFe32	7.8257739324433
AFe33	8.380744124172324
AFe36	7.694876858888873
AFe37	7.02712722734685
AFe39	6.840147654646575
AFe4	7.656017334997973
AFe7	7.83121312327038
AFe8	7.321910867718795
AFe9	7.3833713404374715
AMe1	5.163497507885658
AMe11	5.101737994923268
AMe13	5.956655554052234
AMe14	7.687536723163285
AMe16	6.332467608701803
AMe18	5.560817179289653
AMe2	5.8328103854265185
AMe5	5.63960652453212
AMe6	7.336342963494611
AMe7	5.992649044691723
AMe8	4.5546986119004345
BFe1	7.309789507460724
BFe10	7.020132999855605
BFe11	6.925225847972327
BFe13	7.320962848286356
BFe14	7.976405591248738
BFe16	7.221509472290278
BFe17	7.582182672433507
BFe2	7.480046996898963
BFe20	7.185667226636622
BFe23	8.028441271602906
BFe26	8.45948185555595
BFe27	7.5595722658814895
BFe29	7.238003654402488
BFe3	7.942992974506085
BFe32	7.539901478069482
BFe33	6.730762938416064
BFe35	8.454916137105494
BFe39	7.334968560722965
BFe8	7.3394404207909005
BMe10	3.690364460084269
BMe14	1.261032993186534
BMe18	7.3598094495817294
BMe2	2.2742370198734307
BMe4	5.5029174529428495
BMe5	5.828847127607143
BMe9	3.6751111331859865
P7NC	8.843200397281699
PFe12	8.073657703219013
PFe13	7.326023000052199
PFe16	7.67296946338322
PFe21	7.811229897522111
PFe22	7.839635850602499
PFe23	7.9355250050683495
PFe24	7.852606087633258
PFe26	7.663765708161092
PFe28	7.722847734987457
PFe30	7.68545331881836
PFe31	7.6252491065131816
PFe35	8.321173700297734
PFe37	8.298985315346263
PFe38	7.936590203998659
PFe39	8.464913515560523
PFe40	8.249407632376485
PFe5	7.70328363100287
PFe8	8.374094339555526
PMe1	8.958812560482711
PMe10	8.186336411333908
PMe11	7.884660652485119
PMe13	7.173814632915987
PMe14	1.7569946804568906
PMe15	9.538212726722229
PMe16	4.742188458077857
PMe18	8.962885587501082
PMe19	2.1081999716219184
PMe2	9.164693916796084
PMe7	8.279964841754067
PMe9	9.001230530929647
